t_opt,t,k,official_lower,scipy_lower,official_upper,scipy_upper,max_abs_error
100,200,18,0.043862461957509556,0.04386246195750944,0.14845180560085908,0.1484518056008602,1.1102230246251565e-15
100,200,20,0.05094690144983563,0.050946901449834506,0.16064464454022542,0.16064464454022612,1.124100812432971e-15
100,200,22,0.0582067599011867,0.0582067599011872,0.17267739469465948,0.17267739469466334,3.858025010572419e-15
100,400,38,0.058519425152667226,0.05851942515266612,0.13706566017030364,0.13706566017030142,2.220446049250313e-15
100,400,40,0.06249108772526443,0.062491087725264176,0.14287199079223997,0.14287199079223864,1.3322676295501878e-15
100,400,42,0.0664951274897421,0.06649512748974028,0.14864900692607286,0.1486490069260737,1.817990202823694e-15
100,800,78,0.06950752666833458,0.06950752666833439,0.12801421505474714,0.12801421505473948,7.66053886991358e-15
100,800,80,0.0716392955317478,0.07163929553175007,0.13081296926962488,0.1308129692696199,4.9682480351975755e-15
100,800,82,0.07377702323623864,0.07377702323624181,0.1336063281582477,0.13360632815825274,5.051514762044462e-15
100,1600,158,0.07762428572323998,0.07762428572323593,0.12095131389948299,0.12095131389947662,6.369904603786836e-15
100,1600,160,0.07874139472373612,0.07874139472373604,0.12231220118704156,0.12231220118702606,1.5501488981328748e-14
100,1600,162,0.07985959834069967,0.07985959834069976,0.12367209387216099,0.12367209387215546,5.537237335317968e-15
100,3200,318,0.08360082785420522,0.08360082785419874,0.11554220834888139,0.11554220834888246,6.480926906249351e-15
100,3200,320,0.08417769390029964,0.0841776939002997,0.1162083062405539,0.11620830624055364,2.498001805406602e-16
100,3200,322,0.08475476061021495,0.08475476061020329,0.11687422091795117,0.11687422091797174,2.0566881531181025e-14
200,25,0,0.0,0.0,0.25231321504759774,0.25231321504760335,5.6066262743570405e-15
200,25,2,0.0033164577699900527,0.0033164577699899825,0.3726272991097585,0.37262729910975856,7.025630077706069e-17
200,25,4,0.02149089622407722,0.021490896224077204,0.4699152351613751,0.46991523516137396,1.1657341758564144e-15
200,50,3,0.006255768343325354,0.006255768343325143,0.20127621940129214,0.2012762194012946,2.4424906541753444e-15
200,50,5,0.01992235226363051,0.019922352263630715,0.25754505628960267,0.2575450562896031,4.440892098500626e-16
200,50,7,0.03825584913299348,0.038255849132993076,0.30919163059343174,0.30919163059343013,1.609823385706477e-15
200,100,8,0.02509086467813965,0.025090864678139865,0.1662743531772823,0.166274353177284,1.6930901125533637e-15
200,100,10,0.036493143120630143,0.03649314312062969,0.19231762391986268,0.19231762391986543,2.7478019859472624e-15
200,100,12,0.04883722898471587,0.04883722898471527,0.21748455815451342,0.21748455815451376,5.967448757360216e-16
200,200,18,0.0442412597504228,0.044241259750423284,0.14766923343299945,0.14766923343300284,3.3861802251067274e-15
