t_opt,N_max,p,ASN,P50,P90,P_accept,P_reject,P_undecided,mass_residual,status
25,3200,0.01,59.884425633373134,49,85,0.9999999999869178,1.3081482046105037e-11,0.0,6.661338147750939e-16,SUCCESS_EXACT
25,3200,0.03,98.1402177946969,85,163,0.9999999405848309,5.941516604057572e-08,0.0,3.1086244689504383e-15,SUCCESS_EXACT
25,3200,0.05,198.01023315847166,163,381,0.9999953524842237,4.6475157664263775e-06,0.0,9.880984919163893e-15,SUCCESS_EXACT
25,3200,0.07,608.503547173459,483,1283,0.999451401547761,0.0001183836987670055,0.00043021475343667476,3.530509218307998e-14,SUCCESS_EXACT
25,3200,0.08,1412.970768047289,1225,3200,0.8937546037986202,0.0005106776236930089,0.10573471857774493,5.81756864903582e-14,SUCCESS_EXACT
25,3200,0.09,2616.8337027185576,3200,3200,0.2995900768694237,0.002260767794889562,0.6981491553357588,7.194245199571014e-14,SUCCESS_EXACT
25,3200,0.1,3031.4616362503875,3200,3200,0.04734640477384257,0.014302886835674605,0.9383507083905641,8.126832540256146e-14,SUCCESS_EXACT
25,3200,0.11,2858.76649681499,3200,3200,0.014359868186034151,0.1760228642177702,0.8096172675962363,4.063416270128073e-14,SUCCESS_EXACT
25,3200,0.12,1917.688898718988,1945,3200,0.0058901326577697755,0.7449174773962635,0.2491923899459699,3.1086244689504383e-15,SUCCESS_EXACT
25,3200,0.13,990.5170694676787,846,1993,0.0026676979628026546,0.9863485473546524,0.010983754682544306,6.661338147750939e-16,SUCCESS_EXACT
25,3200,0.15,371.11376836249354,313,728,0.0006255457063561148,0.9993744217072539,3.25863787109121e-08,1.1324274851176597e-14,SUCCESS_EXACT
25,3200,0.2,110.07350721105286,95,203,2.2052030061207455e-05,0.9999779479699431,0.0,4.218847493575595e-15,SUCCESS_EXACT
25,3200,0.3,38.66819684011534,35,66,2.6335342020344455e-08,0.9999999736646558,0.0,2.220446049250313e-15,SUCCESS_EXACT
50,50,0.01,49.99999999999868,50,50,0.0,3.999347022284153e-14,0.9999999999999597,3.3306690738754696e-16,SUCCESS_EXACT
50,50,0.03,49.99999996046185,50,50,0.0,1.7366743571005751e-09,0.9999999982633242,1.4432899320127035e-15,SUCCESS_EXACT
50,50,0.05,49.99999397780631,50,50,0.0,3.6010235777082754e-07,0.99999963989764,2.220446049250313e-15,SUCCESS_EXACT
50,50,0.07,49.9998347301383,50,50,0.0,1.2327119332946943e-05,0.9999876728806645,2.55351295663786e-15,SUCCESS_EXACT
50,50,0.08,49.999397595383186,50,50,0.0,4.863137943819319e-05,0.9999513686205634,1.5543122344752192e-15,SUCCESS_EXACT
50,50,0.09,49.998149800776496,50,50,0.0,0.00015890492174458476,0.9998410950782567,1.3322676295501878e-15,SUCCESS_EXACT
50,50,0.1,49.99505136885371,50,50,0.0,0.00044564470534753394,0.9995543552946542,1.7763568394002505e-15,SUCCESS_EXACT
50,50,0.11,49.98819287291037,50,50,0.0,0.0011013261775479168,0.9988986738224529,8.881784197001252e-16,SUCCESS_EXACT
50,50,0.12,49.97440849613834,50,50,0.0,0.00244697925075385,0.9975530207492463,2.220446049250313e-16,SUCCESS_EXACT
50,50,0.13,49.948894450200726,50,50,0.0,0.00496497201168557,0.9950350279883144,0.0,SUCCESS_EXACT
50,50,0.15,49.833667629991076,50,50,0.0,0.016320294498920963,0.9836797055010776,1.4432899320127035e-15,SUCCESS_EXACT
50,50,0.2,48.65269029783545,50,50,0.0,0.12352670169785453,0.8764732983021485,3.1086244689504383e-15,SUCCESS_EXACT
50,50,0.3,39.241451631238036,42,50,0.0,0.6887036706089302,0.31129632939106805,1.7763568394002505e-15,SUCCESS_EXACT
50,100,0.01,72.64456653699203,62,94,0.936588056597874,4.0003284860047154e-14,0.0634119434020853,6.661338147750939e-16,SUCCESS_EXACT
50,100,0.03,89.38524795053392,100,100,0.48694451876039435,1.8354890601583956e-09,0.5130554794041142,2.4424906541753444e-15,SUCCESS_EXACT
50,100,0.05,96.72036081957141,100,100,0.16561395070502027,5.071016304061548e-07,0.8343855421933449,4.440892098500626e-15,SUCCESS_EXACT
50,100,0.07,99.11224023102551,100,100,0.04516137787254817,2.7157116638804515e-05,0.9548114650108076,5.440092820663267e-15,SUCCESS_EXACT
50,100,0.08,99.54945200612626,100,100,0.022361662094143638,0.00013309664261329735,0.9775052412632468,3.774758283725532e-15,SUCCESS_EXACT
50,100,0.09,99.76148107091817,100,100,0.010785937595263938,0.0005258997394439757,0.9886881626652948,2.6645352591003757e-15,SUCCESS_EXACT
50,100,0.1,99.83605602371918,100,100,0.005092576799548592,0.0017245789395459368,0.9931828442609086,3.1086244689504383e-15,SUCCESS_EXACT
50,100,0.11,99.79800221407584,100,100,0.002362716791930259,0.004810529824070352,0.9928267533840008,1.5543122344752192e-15,SUCCESS_EXACT
50,100,0.12,99.62417099321611,100,100,0.0010805275262920308,0.011655661464503813,0.9872638110092042,0.0,SUCCESS_EXACT
50,100,0.13,99.25271197559778,100,100,0.0004883491026857949,0.024972494143334738,0.9745391567539797,2.220446049250313e-16,SUCCESS_EXACT
50,100,0.15,97.5411135078778,100,100,9.707178047617728e-05,0.08404382084780873,0.9158591073717123,2.7755575615628914e-15,SUCCESS_EXACT
50,100,0.2,84.1522177455605,100,100,1.5487232800623595e-06,0.4712340271526233,0.5287644241241014,4.884981308350689e-15,SUCCESS_EXACT
50,100,0.3,44.8153199422668,42,71,2.7236826682289037e-10,0.9846491550902678,0.015350844637361794,2.1094237467877974e-15,SUCCESS_EXACT
50,200,0.01,73.6664277948021,62,94,0.9999786214118376,4.0003284860047154e-14,2.1378588121631986e-05,7.771561172376096e-16,SUCCESS_EXACT
50,200,0.03,111.26939043673451,109,180,0.9471607279044868,1.8360364663552327e-09,0.052839270259473506,3.219646771412954e-15,SUCCESS_EXACT
50,200,0.05,159.26435120008725,180,200,0.5678335420954168,5.19989174952909e-07,0.4321659379154015,6.772360450213455e-15,SUCCESS_EXACT
50,200,0.07,187.98678894159872,200,200,0.18039696812556757,3.3771496619325706e-05,0.8195692603778025,1.0547118733938987e-14,SUCCESS_EXACT
50,200,0.08,194.2168486384303,200,200,0.08475224465660727,0.0002004954792034438,0.9150472598641968,7.549516567451064e-15,SUCCESS_EXACT
50,200,0.09,197.2926374088558,200,200,0.03660039153711459,0.000989283857587448,0.9624103246053036,5.773159728050814e-15,SUCCESS_EXACT
50,200,0.1,198.5147660257691,200,200,0.014902504324810805,0.004013784131641348,0.9810837115435534,5.551115123125783e-15,SUCCESS_EXACT
50,200,0.11,198.46286588787578,200,200,0.005852831414843116,0.013336708310714714,0.9808104602744447,2.6645352591003757e-15,SUCCESS_EXACT
50,200,0.12,197.0828581303625,200,200,0.0022611786295691425,0.036542460012187035,0.9611963613582439,0.0,SUCCESS_EXACT
50,200,0.13,193.88910867037515,200,200,0.00087286295443449,0.0837570770097,0.9153700600358656,2.220446049250313e-16,SUCCESS_EXACT
50,200,0.15,179.793915153741,200,200,0.00013479548999383522,0.2769423799299848,0.7229228245800162,5.10702591327572e-15,SUCCESS_EXACT
50,200,0.2,112.47867681239464,105,200,1.6355700170488078e-06,0.8849002106227021,0.11509815380728766,6.8833827526759706e-15,SUCCESS_EXACT
50,200,0.3,45.04262618901122,42,71,2.7250881518733456e-10,0.9999912435000788,8.756227409503218e-06,2.886579864025407e-15,SUCCESS_EXACT
50,400,0.01,73.66672916026398,62,94,0.9999999999996947,4.0003284860047154e-14,2.6475393893992117e-13,5.551115123125783e-16,SUCCESS_EXACT
50,400,0.03,113.3640076124418,109,180,0.999778352604019,1.836036503608133e-09,0.0002216455599409815,3.4416913763379853e-15,SUCCESS_EXACT
50,400,0.05,203.23957438198175,180,378,0.9143118426199127,5.201092210111283e-07,0.0856876372708577,8.548717289613705e-15,SUCCESS_EXACT
50,400,0.07,327.6766247434259,400,400,0.4130111673462843,3.4676949493897336e-05,0.5869541557042037,1.8096635301390052e-14,SUCCESS_EXACT
50,400,0.08,366.37588596087596,400,400,0.1896700367454743,0.00022409437930933962,0.8101058688752311,1.4654943925052066e-14,SUCCESS_EXACT
50,400,0.09,385.9659913378138,400,400,0.07186490469711171,0.0013293190136909082,0.9268057762892081,1.0658141036401503e-14,SUCCESS_EXACT
50,400,0.1,393.3380155391904,400,400,0.02433483247948013,0.006929302729267384,0.9687358647912637,1.1324274851176597e-14,SUCCESS_EXACT
50,400,0.11,392.744287634741,400,400,0.00797708764297847,0.02906753640767217,0.9629553759493548,5.329070518200751e-15,SUCCESS_EXACT
50,400,0.12,383.67774469776396,400,400,0.002683340396396002,0.09279727919471625,0.9045193804088881,4.440892098500626e-16,SUCCESS_EXACT
50,400,0.13,363.07857877677003,400,400,0.0009496181840036646,0.22389324105048308,0.7751571407655133,0.0,SUCCESS_EXACT
50,400,0.15,286.71992921357713,316,400,0.00013691502204863528,0.6305793247279589,0.36928376024998427,8.215650382226158e-15,SUCCESS_EXACT
50,400,0.2,118.5394941312881,105,208,1.6356936593097564e-06,0.9977093499218187,0.0022890143845296904,7.771561172376096e-15,SUCCESS_EXACT
50,400,0.3,45.0427336584383,42,71,2.7250881518733456e-10,0.9999999997271101,3.777181493901625e-13,3.4416913763379853e-15,SUCCESS_EXACT
